measure,pitch,offset,offsetMeasure,quarterLength,fullName,notehead
58,C4,230.5,1.5,0.5+0.5,C in octave 4 Eighth Note,normal
58,C4,231.5,2.5,0.5,C in octave 4 Eighth Note,normal
58,B-3,232.0,3.0,0.5,B-flat in octave 3 Eighth Note,normal
58,E-3,232.5,3.5,0.5,E-flat in octave 3 Eighth Note,normal
59,A-3,233.0,0.0,1.0,A-flat in octave 3 Quarter Note,normal
59,A-3,234.0,1.0,0.5,A-flat in octave 3 Eighth Note,normal
59,G3,234.5,1.5,0.5,G in octave 3 Eighth Note,normal
59,F3,235.0,2.0,1.0,F in octave 3 Quarter Note,normal
59,F3,236.0,3.0,0.5,F in octave 3 Eighth Note,normal
59,F#3,236.5,3.5,0.5,F-sharp in octave 3 Eighth Note,normal
60,G3,237.0,0.0,0.5,G in octave 3 Eighth Note,normal
60,G2,237.5,0.5,0.5,G in octave 2 Eighth Note,normal
60,B-2,238.0,1.0,0.5,B-flat in octave 2 Eighth Note,normal
60,B2,238.5,1.5,0.5,B-natural in octave 2 Eighth Note,normal
60,C3,239.0,2.0,1.0,C in octave 3 Quarter Note,normal
60,C3,240.0,3.0,0.5,C in octave 3 Eighth Note,normal
60,E3,240.5,3.5,0.5,E-natural in octave 3 Eighth Note,normal
61,F3,241.0,0.0,0.5,F in octave 3 Eighth Note,normal
61,C3,241.5,0.5,0.5,C in octave 3 Eighth Note,normal
61,F3,242.0,1.0,0.5,F in octave 3 Eighth Note,normal
61,C3,242.5,1.5,0.5,C in octave 3 Eighth Note,normal
61,F3,243.0,2.0,0.5,F in octave 3 Eighth Note,normal
61,F3,243.5,2.5,0.5,F in octave 3 Eighth Note,normal
61,G3,244.0,3.0,0.5,G in octave 3 Eighth Note,normal
62,A-3,244.5,-0.5,0.5+0.5,A-flat in octave 3 Eighth Note,normal
62,E-3,245.5,0.5,0.5,E-flat in octave 3 Eighth Note,normal
62,A-3,246.0,1.0,0.5,A-flat in octave 3 Eighth Note,normal
62,E-3,246.5,1.5,0.5,E-flat in octave 3 Eighth Note,normal
62,A-3,247.0,2.0,0.5,A-flat in octave 3 Eighth Note,normal
62,E-3,247.5,2.5,0.5,E-flat in octave 3 Eighth Note,normal
62,F3,248.0,3.0,0.5,F in octave 3 Eighth Note,normal
62,G3,248.5,3.5,0.5,G in octave 3 Eighth Note,normal
63,A-3,249.0,0.0,1.0,A-flat in octave 3 Quarter Note,normal
63,A-3,250.0,1.0,0.5,A-flat in octave 3 Eighth Note,normal
63,G3,250.5,1.5,0.5,G in octave 3 Eighth Note,normal
63,F3,251.0,2.0,1.0,F in octave 3 Quarter Note,normal
63,F3,252.0,3.0,0.5,F in octave 3 Eighth Note,normal
64,G3,252.5,-0.5,0.5+0.5,G in octave 3 Eighth Note,normal
64,D3,253.5,0.5,0.5,D in octave 3 Eighth Note,normal
64,G3,254.0,1.0,1.0+0.5,G in octave 3 Eighth Note,normal
64,C4,255.5,2.5,0.5,C in octave 4 Eighth Note,normal
64,C3,256.0,3.0,0.5,C in octave 3 Eighth Note,normal
64,E-3,256.5,3.5,0.5,E-flat in octave 3 Eighth Note,normal
65,A-3,257.0,0.0,1.0,A-flat in octave 3 Quarter Note,normal
65,A-3,258.0,1.0,1.0,A-flat in octave 3 Quarter Note,normal
65,F3,259.0,2.0,0.5,F in octave 3 Eighth Note,normal
65,F3,259.5,2.5,0.5,F in octave 3 Eighth Note,normal
65,F3,260.0,3.0,0.5,F in octave 3 Eighth Note,normal
66,G3,260.5,-0.5,0.5+1.0,G in octave 3 Quarter Note,normal
66,G3,262.0,1.0,1.0+0.5,G in octave 3 Eighth Note,normal
66,C4,263.5,2.5,0.5,C in octave 4 Eighth Note,normal
66,C3,264.0,3.0,0.5,C in octave 3 Eighth Note,normal
66,E-3,264.5,3.5,0.5,E-flat in octave 3 Eighth Note,normal
67,A-3,265.0,0.0,0.5,A-flat in octave 3 Eighth Note,normal
67,E-3,265.5,0.5,0.5,E-flat in octave 3 Eighth Note,normal
67,A-3,266.0,1.0,0.5,A-flat in octave 3 Eighth Note,normal
67,E-3,266.5,1.5,0.5,E-flat in octave 3 Eighth Note,normal
67,F3,267.0,2.0,1.0,F in octave 3 Quarter Note,normal
67,F3,268.0,3.0,0.5,F in octave 3 Eighth Note,normal
68,G3,268.5,-0.5,0.5+0.5,G in octave 3 Eighth Note,normal
68,D3,269.5,0.5,0.5,D in octave 3 Eighth Note,normal
68,G3,270.0,1.0,1.0,G in octave 3 Quarter Note,normal
68,G3,271.0,2.0,0.5,G in octave 3 Eighth Note,normal
68,C4,271.5,2.5,0.5,C in octave 4 Eighth Note,normal
68,C3,272.0,3.0,0.5,C in octave 3 Eighth Note,normal
68,E-3,272.5,3.5,0.5,E-flat in octave 3 Eighth Note,normal
